username,natives,learning
moco56,Japanese,"Arabic,Russian,Italian,English (UK)"
swtsdolly,French (France),Korean
Laura55,Simplified Chinese (China),German
gassim,Arabic,English (US)
jozefin,"Arabic,English (UK)","English (US),Spanish (Spain)"
EneriRelda,Romanian,German
Mp7,Arabic,Japanese
chelstwoods,English (US),"Simplified Chinese (China),Spanish (Colombia)"
ploylala56,Thai,"English (US),French (France),Japanese"
HroMatika,Russian,English (US)
AxenovaGalina,Russian,English (US)
anhthe,English (US),English (US)
perishka26,Russian,"English (US),Arabic,Norwegian (bokmal)"
huynhnguyen,"Armenian,English (UK),English (US)",English (US)
xyunikonx,Polish,"Japanese,English (UK),Bulgarian"
ulyabaev2015,Russian,English (US)
123eva123,English (US),Spanish (Spain)
gokan5,Japanese,English (US)
aseken,Polish,"English (US),Russian"
violanna,English (US),English (US)
erman_da,Simplified Chinese (China),"English (US),German,Italian"
j8cl,Arabic,English (US)
Illuashka,Ukrainian,English (US)
springi00,Traditional Chinese (Taiwan),Korean
KrystalGirl,Polish,"English (US),Japanese,Esperanto,Korean,German"
hizusixth,English (UK),Japanese
kridoru,"Russian,Ukrainian","English (US),Japanese,Korean,Simplified Chinese (China)"
oksigani1981,Russian,"English (US),Korean"
nastya95,Russian,Korean
Alexander_Newman,Russian,"English (US),German"
KamilPoland,"English (US),Polish","English (US),Korean,Turkish"
Andromix,Russian,English (UK)
rehafrehaf,Arabic,English (US)
AceMix,"Russian,Belarusian",English (UK)
HamoodSlammer,"Arabic,English (UK)","French (France),Latin,Persian"
tempor357,Polish,English (US)
Damon13,Russian,"English (UK),English (US),French (Canada),Irish,Japanese"
agamer255,Arabic,"English (US),Japanese"
Valery098,Russian,English (US)
pingguo,Russian,"English (US),Simplified Chinese (China)"
arishkaoptovec,Russian,Ukrainian
marcross,Simplified Chinese (China),"English (US),Japanese,Russian"
mezna_,Arabic,"English (UK),French (France),Italian,Japanese,Spanish (Spain)"
ExtaZ,Russian,English (US)
destilestari12,Indonesian,"English (US),Tagalog"
pengzhiyuan1995,Simplified Chinese (China),"English (US),Japanese,Spanish (Colombia)"
yiting19930810,Traditional Chinese (Taiwan),"English (US),Korean"
fansizhewz,Simplified Chinese (China),English (US)
streeff,Russian,"English (UK),Ukrainian"
gadimovnurlan,Russian,English (US)
schuprina30,Russian,English (US)
eshteagjan11,Arabic,English (US)
lilszard,English (US),"French (France),Spanish (Mexico)"
celineceline,French (France),"English (UK),English (US)"
lichin,Traditional Chinese (Taiwan),"English (US),Japanese"
Lilima,"Armenian,Russian","English (UK),Georgian,Simplified Chinese (China),Spanish (Spain)"
tRPR2tuV3iYO4q8,Russian,"English (UK),English (US),Norwegian (bokmal),Norwegian (nynorsk)"
valeriuax69,Russian,German
A7sas201M,Arabic,English (US)
amooonah0,Arabic,English (US)
monikagranat95,Polish,German
kimanh8321,Vietnamese,English (US)
Polina_Pivovarova,Russian,English (UK)
bellasampson,English (US),Italian
brayanhdz59,Spanish (Mexico),English (US)
DianaDidi,"Armenian,Russian","Japanese,English (UK)"
Hayfaa,Arabic,Korean
57426992,Simplified Chinese (China),English (US)
4ZtfLHzdWa0gxi6,Traditional Chinese (Taiwan),Korean
KoonLoad,Russian,Japanese
stacy_rider1479,Russian,"English (US),Korean"
Riinastik,Russian,"English (US),Korean"
elvirastin,Russian,"English (US),French (France),Japanese"
dailuong0907,Vietnamese,Vietnamese
kentokyo,Japanese,English (US)
manal-ab,Arabic,English (US)
strachulu,Polish,"English (US),Norwegian (nynorsk)"
stella1234,Arabic,English (US)
Tofciaczek,Polish,English (US)
mohamadbadr,Kurdish,"English (UK),English (US)"
Verapovar,Russian,English (UK)
Lulu_s,Arabic,Turkish
hkyo789,"Japanese,Simplified Chinese (China)","English (US),French (France),Italian"
Adelina_Valo,Russian,English (US)
Daneh,German,Japanese
kamila8,Russian,English (US)
Sylvester,Polish,"English (UK),English (US),Spanish (Spain)"
el_pollo_gabriel,Spanish (Spain),Japanese
Alexandra_Saf,Russian,English (US)
pftman,Traditional Chinese (Taiwan),"English (US),Japanese"
ruzica,Polish,"English (US),Serbian"
miriamissa7,Arabic,Hebrew
Angelina_Valo,Russian,English (US)
LIMJC,Simplified Chinese (China),"English (UK),Japanese"
mgrudzien,Polish,English (US)
Samian,Arabic,"English (UK),Swedish"
mounirAlk,English (US),Norwegian (bokmal)
nakee,Russian,English (US)
maryam_e33,Arabic,English (US)
Roxi1312,Polish,"English (US),Japanese,English (UK)"
Alexxphysics,Russian,"English (UK),English (US)"
lar5,English (US),Finnish
pvthang,Vietnamese,English (US)
icychowchow,Traditional Chinese (Hong Kong),Korean
Joan1,Simplified Chinese (China),English (UK)
sykjsj,Korean,"English (US),Simplified Chinese (China)"
tlaura,Hungarian,Simplified Chinese (China)
TurboOxide,"Arabic,English (UK)",Japanese
nataliyabreb,Russian,English (US)
Maxat,Russian,"English (UK),English (US)"
Ahmad_zkrye,Arabic,Turkish
halmshar35,Arabic,English (US)
Yuki4649,Japanese,English (US)
hvostik501,Russian,English (US)
abuaabdascii,Arabic,English (US)
zerominski92,Polish,"English (US),Vietnamese"
Iza1204,Polish,English (US)
Andrei92,Russian,"German,English (US)"
jaylin1991,Simplified Chinese (China),"English (US),Korean"
BreakBurn,Russian,"Japanese,Latin,Spanish (Spain),Tajik,Korean,Ukrainian"
seiu8910,Korean,"English (US),Japanese"
hobhelen,English (US),Polish
alienQ,"Simplified Chinese (China),Traditional Chinese (Taiwan)","English (US),Japanese,Thai"
my872103531,,
noeltama,Japanese,English (US)
ZHOUR,Arabic,English (US)
NinaKors,Russian,English (US)
Dinahmad97,Malay,"German,Japanese"
MargaritaRagman,Russian,Korean
Huongly265,Vietnamese,English (US)
ST07,English (UK),Korean
bsmfan505,Arabic,"English (US),Japanese"
abd1altore,Arabic,French (France)
hukaki,Arabic,English (US)
Mss74717804Mss,Japanese,"English (US),Korean,Simplified Chinese (China),Traditional Chinese (Hong Kong),Traditional Chinese (Taiwan)"
GayanaG,Russian,English (US)
Kim_Dae_Yeong,"Arabic,English (US)",Korean
Daniele97,Italian,English (US)
poiuytreww036,Arabic,English (US)
elafmoh12,"Arabic,English (US)",Japanese
Hikacha,Japanese,"English (US),Russian"
nakayana12,Japanese,English (US)
Orka,Polish,Spanish (Spain)
jo2842,Korean,German
rafaelmartinssilva,Portuguese (Brazil),"English (US),Russian"
Sara2512,Arabic,Armenian
hafuni,Japanese,"English (UK),English (US),Korean"
azoo,Arabic,English (US)
tookyo76,Arabic,English (US)
Arseniy_Iron,Russian,English (US)
JinHsu,Traditional Chinese (Taiwan),"English (US),Japanese"
abas66lame,Arabic,Arabic
Ming-Yi,Traditional Chinese (Taiwan),English (US)
sas209,Russian,English (US)
kamtom3,Polish,English (US)
nasser_abo,Arabic,English (US)
Shuan_,Traditional Chinese (Taiwan),Japanese
chenshuishaou,Simplified Chinese (China),Japanese
sto20172,"Arabic,English (UK)",English (US)
Orki_z_Majorki,Polish,"English (US),French (France),Italian,Japanese,Spanish (Spain),Kiswahili,Vietnamese"
karin0418,Traditional Chinese (Taiwan),Japanese
JXChen,Traditional Chinese (Taiwan),"English (US),Japanese"
smile960814,"Traditional Chinese (Taiwan),Japanese","English (US),Japanese,Korean"
pawluszymon,Polish,English (UK)
KateF,Russian,"English (UK),English (US)"
Yertai,Kazakh,English (US)
azizalmutairi,Arabic,English (US)
uninvited,Russian,Japanese
JadeMei,Simplified Chinese (China),English (US)
SimoG,English (US),English (US)
mixy1012,,
armp,Arabic,English (UK)
AhmedAbdoAlKreem,English (UK),English (US)
rublevv,"English (UK),Romanian,Spanish (Spain)","English (US),French (France)"
engineeer,"Arabic,English (US)",Russian
Lidia_Key_,Russian,English (US)
Omegabug,"French (France),Spanish (Mexico)","Japanese,English (US)"
kasiaorlowska,Polish,English (UK)
samur,Arabic,English (UK)
sarape,Polish,"English (US),Japanese,Spanish (Spain),English (UK)"
mohammad_alaamer,Arabic,English (US)
Hassan_AL-iraqi,Arabic,English (US)
whoau9393,Korean,"English (US),Japanese"
IvanGS,Spanish (Spain),English (US)
anicemoon2016,Arabic,English (US)
vadimivanov,Russian,English (US)
Jasmine1991,Simplified Chinese (China),English (US)
daibin,"Simplified Chinese (China),English (US)",German
vilma00,Swedish,"English (US),Finnish,Spanish (Spain),Norwegian (bokmal)"
Azooz_6_5_4,Arabic,English (US)
xolaa,Polish,English (US)
pawlo7244,Polish,"English (US),German"
delaram88,Persian,English (US)
Naiman,"Kazakh,Russian",English (US)
Mimo123,"English (US),Simplified Chinese (China),Traditional Chinese (Taiwan)","French (France),Japanese,Spanish (Spain)"
gaze,Arabic,English (US)
shipman7,Simplified Chinese (China),English (US)
shipman7,Simplified Chinese (China),English (US)
dudumatar,"Arabic,English (UK)","English (US),Turkish"
yusu,Arabic,Turkish
anna56,Russian,English (US)
mara173,French (France),Japanese
mioszpodyma6,Polish,"Dutch,English (US)"
koogi,Arabic,English (US)
moudimohmmad,Arabic,English (US)
arinashilina2,Russian,"English (UK),Korean"
Maria168,Russian,"English (US),Italian"
jenniecao,Simplified Chinese (China),"English (UK),English (US)"
StepanMoscow93,Russian,English (US)
sparkyspark12,English (US),French (France)
Fph1217,Traditional Chinese (Hong Kong),Japanese
H4madmad,Arabic,English (US)
polinaCutkosky,Russian,English (US)
andrewTSO,Russian,"English (US),Italian,Spanish (Spain)"
sparksun,Simplified Chinese (China),Japanese
MahmoudSal,Arabic,English (US)
Darya_ludisheva,Russian,Norwegian (bokmal)
madziarosiak,Polish,English (US)
Manaif,"Arabic,English (US)",English (US)
seruyrybak18,Russian,English (US)
NansB,French (France),English (US)
ny0277,Korean,English (US)
RaghadSaad,Arabic,English (US)
SaiSatoshi,English (US),English (US)
504Moco,Japanese,English (US)
fkaraeva564,"Azerbaijani,Russian,Turkish","English (US),Korean"
nana0727,English (US),English (US)
camellasagna,English (US),"Japanese,Korean"
Rocky5026,English (US),"Belarusian,English (US)"
krassbuffweed,"Russian,Ukrainian","English (UK),English (US),Japanese"
lang8888888888888888,Simplified Chinese (China),English (UK)
lang8888888888888888,Simplified Chinese (China),English (UK)
Zoryana,Russian,English (US)
Mariame005,French (France),German
othmanhaymoude,French (France),Arabic
abod02_,Arabic,English (US)
Anthonyct,Indonesian,English (US)
Gregor357,Slovak,"English (UK),German"
Souheila1970,French (France),English (US)
Okanile,Russian,French (France)
M7TARF,Arabic,English (US)
SofParshina,Russian,English (US)
allord,"Afrikaans,Arabic",English (US)
MoathWsh,Arabic,English (US)
a_amy,"English (US),Spanish (Mexico)",Korean
Miriaaam,Spanish (Spain),English (US)
tengzhen416,Simplified Chinese (China),"English (UK),Korean"
tengzhen416,Simplified Chinese (China),"English (UK),Korean"
ndani63,Hungarian,English (US)
Metry,English (UK),"Irish,Japanese,Korean"
ahmadzw,Arabic,English (US)
abdullah_bn_Mohamed,Arabic,English (US)
osinyio,Traditional Chinese (Taiwan),English (US)
7223,Arabic,Arabic
Magdalela,Polish,"English (UK),Spanish (Spain)"
saenene,English (US),English (US)
Misha_Mors,Russian,English (US)
Maya_00,Russian,Korean
rakan12300,Arabic,English (US)
wangyuhui,Simplified Chinese (China),English (UK)
jahoud1980,Arabic,Dutch
Abdulmajeed_B7,Arabic,English (US)
Zekkiel,"Spanish (Mexico),Spanish (Spain)","Japanese,Korean,English (US)"
nanalee0727,Korean,English (US)
Zoryana80,Russian,English (US)
aya0607,Japanese,"English (US),Simplified Chinese (China)"
yke7638,Korean,"English (US),Korean"
lcasquete17,Spanish (Spain),Korean
puyolana55,Arabic,English (US)
ghostXX,Arabic,English (US)
andrei1972,Russian,"English (US),Italian"
Lolli127,German,"English (US),French (France),Korean"
hailma,Arabic,English (UK)
dianasultanova,Russian,English (US)
em0209,"English (US),Korean",French (France)
Riyaan,Somali,English (US)
Sattorali,Uzbek,Russian
Shahad_alhmood,Arabic,English (US)
hanay14100,Arabic,English (US)
Ricei,Simplified Chinese (China),English (US)
natatsipura,"Russian,Ukrainian",English (US)
AlinaGood,Russian,"English (UK),English (US),Norwegian (bokmal)"
emiliog23,Spanish (Spain),English (US)
Ai-chan,Tagalog,"Japanese,Korean"
mostafaAh,Arabic,English (US)
dema-am,"Arabic,English (US)","Arabic,English (US)"
MarinaKadnikova,Russian,Korean
okaerova0813,Russian,"English (UK),English (US)"
Tamim,Arabic,English (US)
ok7651451,Russian,Korean
FLWXI,Arabic,Arabic
mnsoor,"Arabic,English (UK)",English (US)
Szhgutik1,Russian,Korean
littlebluebirdxo,English (US),Korean
JuEffye,Simplified Chinese (China),Japanese
Christal900815,Traditional Chinese (Taiwan),Japanese
Ariel_black_cat,Russian,"English (US),French (France),Latin,Norwegian (bokmal)"
katanosova2002,Russian,"English (UK),English (US)"
badralnnasser,Arabic,English (US)
foxtribus,"English (UK),Polish","English (UK),German,Korean,Polish,Simplified Chinese (China)"
_elenadiaz_,Spanish (Spain),"English (UK),French (France),Japanese"
bo_dara,Russian,"English (US),Korean"
tianyawen,Simplified Chinese (China),Japanese
Tomoakiho,Japanese,English (US)
salashtyaq534,Arabic,"English (US),Japanese,Russian"
William3,Simplified Chinese (China),English (US)
RTWX,Arabic,English (US)
AhmedNasser223,Arabic,Spanish (Spain)
asanova030397,Russian,English (US)
Giorgiatibi,Italian,Simplified Chinese (China)
nportsina,Ukrainian,English (US)
yucayuca,Japanese,English (US)
bleila,French (France),English (US)
twkor,Korean,"Traditional Chinese (Taiwan),English (US)"
mnta09110711,Japanese,English (US)
RAYAN10,French (France),Arabic
xraed11,Arabic,English (US)
famifami,Japanese,English (US)
CrazyFlash0320,Traditional Chinese (Taiwan),"Japanese,Russian"
iamagoodgirl1123,Traditional Chinese (Taiwan),English (US)
vananh1738,Vietnamese,"Japanese,English (US)"
BlasettVT,Spanish (Spain),"Japanese,Finnish,Catalan,French (France),Swedish"
MinamiRen,Russian,Japanese
yun590104,Traditional Chinese (Taiwan),Korean
faisal7691,Arabic,English (US)
waseem_979722,Arabic,English (US)
Wiktoria20001,Polish,"German,Hebrew"
yaths602,Traditional Chinese (Taiwan),"English (UK),Japanese"
Ayminara,Russian,"English (UK),English (US),Spanish (Spain),Tatar"
mshalan113,Arabic,Spanish (Mexico)
Orzeszkowa,Polish,"English (US),German"
aeey,Arabic,English (US)
ig6v,"Arabic,English (US)","Dutch (Belgium),French (France)"
annabogd,Russian,Italian
NekoRiko,Portuguese (Brazil),English (US)
songsong123,Simplified Chinese (China),English (US)
loola29,Arabic,"English (UK),Korean,Turkish"
ftoon_ahmari,"English (US),English (UK)","Spanish (Spain),Spanish (Mexico)"
jongdory,Korean,English (US)
normn,Arabic,English (US)
katerina27,Russian,English (US)
Elaaaf,Arabic,English (US)
mrpkk12,Japanese,English (US)
Santer,Arabic,"English (US),French (France)"
Arvil,Russian,Korean
VladiSlavIs,Russian,English (US)
Hongsi,Korean,English (US)
0mil0,Arabic,"English (US),Turkish"
serafino,Simplified Chinese (China),"Italian,Japanese"
Gabriel00,Portuguese (Brazil),English (US)
modjun8,Korean,"English (US),Japanese"
Abdullah94ali,Arabic,English (US)
marinariver,Russian,English (US)
milanakruglova,Russian,"English (US),Norwegian (bokmal),Norwegian (nynorsk)"
kejplek,Polish,English (UK)
pp50898,Traditional Chinese (Taiwan),Korean
simo05405,Arabic,Hindi
ins0123498,Traditional Chinese (Taiwan),Korean
Tan1981,English (US),English (US)
AlexandraGrivtcova,Russian,English (US)
Merrjimin,Russian,English (US)
slash93,Polish,"English (UK),English (US),Portuguese (Brazil),Portuguese (Portugal),Spanish (Colombia),Spanish (Mexico),Spanish (Spain)"
G1EE,Simplified Chinese (China),Japanese
AinzRahaf,Arabic,English (US)
Mohammed507,English (US),Arabic
amirlivneh,Hebrew,English (US)
Juniper_Exo,Russian,Japanese
yang23,Simplified Chinese (China),English (US)
Eliza_tota,Arabic,English (US)
sakoura10,Arabic,"English (US),French (France),Hindi"
hlee34,Korean,"English (UK),English (US),Japanese,Simplified Chinese (China)"
fooz,Arabic,English (US)
ErryPark,Russian,Korean
JApple,English (US),Japanese
maruumarelua,Ukrainian,English (US)
medmamine,Arabic,Italian
abtehal778,Arabic,English (US)
belakva_lira,Russian,"English (US),Norwegian (bokmal),Norwegian (nynorsk)"
HaneeL99,Traditional Chinese (Hong Kong),"English (US),Korean"
vvv2231,Korean,"English (US),Japanese,Russian"
st2,Spanish (Spain),English (US)
shahad23,Arabic,"English (UK),Turkish"
reem2006,Arabic,"Arabic,Turkish"
farismrcrazy,Arabic,"English (US),Arabic"
Kamciotoziomal,Polish,"Dutch,English (US),German"
manarmeshari,Arabic,Spanish (Mexico)
latifh215,Arabic,English (US)
yojaga,Indonesian,"English (UK),English (US),German,Korean"
XiJun,Polish,Korean
AnkiQWQ,Simplified Chinese (China),Japanese
Am00nXe_32,"Arabic,English (US)",Turkish
D2222211,Russian,"English (US),Japanese"
natsuox7,Arabic,English (US)
roro2871413,Arabic,Turkish
yuliyan,Russian,"English (UK),English (US)"
yang222,Simplified Chinese (China),English (US)
alvirakhan,"English (US),Hindi",Korean
nassifleila0,Arabic,"English (US),French (France),German,Korean,Spanish (Spain)"
ismael23,Spanish (Spain),"English (UK),English (US),French (France),Portuguese (Brazil),Portuguese (Portugal),Finnish,Italian"
chuchucailyn,Traditional Chinese (Taiwan),Japanese
